,Latitude,Longitude,City,Temperature,Humidity,Cloudiness,Wind Speeds
253,-8.93,125.41,Airai,291.93,26,14,2.15
254,45.62,-1.03,Royan,282.42,93,33,1.0
255,22.68,-3.98,Taoudenni,307.2,16,44,5.95
256,64.42,-173.23,Provideniya,274.15,80,75,4.0
257,60.35,102.28,Vanavara,265.08,94,0,2.3
258,3.49,103.39,Pekan,298.15,94,75,2.76
259,72.79,-56.15,Upernavik,261.34,54,3,3.19
260,-10.34,-67.19,Placido de Castro,303.3,56,97,1.75
261,33.08,-16.33,Camacha,292.15,59,20,5.1
262,5.43,7.07,Naze,297.79,87,100,0.8
263,49.65,-108.41,Shaunavon,281.36,39,0,2.59
264,-34.0,24.73,Kruisfontein,284.07,69,100,2.95
265,-12.38,16.94,Kuito,292.68,47,3,2.41
266,-16.23,39.91,Angoche,298.79,71,0,3.98
267,34.92,32.53,Lasa,291.52,77,0,2.6
268,8.96,38.73,Lebu,287.15,67,40,2.1
269,52.96,4.76,Den Helder,284.68,93,90,3.6
270,49.78,-74.86,Chapais,282.15,70,90,1.0
271,49.49,-113.95,Pincher Creek,278.01,45,20,7.7
272,36.31,139.8,Oyama,288.58,93,75,8.7
273,43.26,-79.87,Hamilton,286.63,93,75,7.7
274,9.67,8.4,Matagami,293.15,88,45,2.6
275,43.2,-8.36,Beira,280.77,93,20,1.63
276,-26.98,-56.83,San Patricio,292.05,76,99,2.61
277,21.35,-158.09,Makakilo City,302.29,69,75,3.1
278,25.29,51.53,Doha,301.8,74,0,2.1
279,64.17,-51.74,Nuuk,275.0,47,5,7.2
280,37.57,126.98,Seoul,283.66,100,75,1.0
281,49.99,31.57,Tsybli,280.15,100,40,2.0
282,63.83,10.7,Hovd,279.45,56,75,7.7
283,-16.48,-151.75,Faanui,300.19,70,35,3.06
284,49.72,-86.95,Geraldton,281.15,87,90,6.2
285,-38.6,145.59,Wonthaggi,284.31,89,100,0.62
286,-8.42,20.74,Lucapa,292.6,92,100,1.8
287,38.52,102.19,Jinchang,278.85,35,0,1.1
288,48.0,122.72,Zalantun,274.67,38,99,1.38
289,68.75,161.3,Cherskiy,255.14,91,54,2.84
290,50.7,-127.42,Port Hardy,282.15,100,90,8.2
291,-9.47,147.16,Port Moresby,299.15,88,75,5.1
292,58.84,125.49,Nizhniy Kuranakh,270.82,94,100,1.2
293,59.1,26.19,Vao,278.59,91,83,2.26
294,-16.84,36.99,Mocuba,300.05,62,84,1.91
295,46.86,-114.05,Orchard Homes,281.6,49,20,3.1
296,47.83,88.13,Altay,261.08,59,0,1.65
297,29.44,55.67,Sirjan,283.88,64,0,0.91
298,2.67,72.89,Kudahuvadhoo,300.55,79,89,5.54
299,60.75,-137.51,Haines Junction,268.63,83,100,0.55
300,39.36,-9.38,Peniche,285.64,93,20,0.5
301,31.5,131.29,Kushima,289.0,100,40,0.5
302,46.42,3.91,Saint-Francois,284.24,87,90,1.0
303,-45.87,-67.48,Comodoro Rivadavia,290.15,39,20,3.6
304,-16.44,-39.06,Porto Seguro,298.15,83,40,5.1
305,11.28,-15.83,Bubaque,301.03,84,93,4.75
306,-35.34,143.56,Swan Hill,284.94,81,0,2.16
307,42.79,75.7,Kemin,273.84,61,89,0.98
308,4.48,118.61,Semporna,297.15,94,75,0.85
309,44.91,78.49,Karabulak,267.26,85,28,1.74
310,48.3,4.07,Troyes,281.06,100,67,1.0
311,38.52,-28.7,Ribeira Grande,290.03,73,60,3.07
312,-41.87,-73.83,Ancud,284.15,62,0,3.1
313,58.38,97.46,Boguchany,266.43,73,100,2.55
314,41.28,-72.53,Clinton,289.06,48,1,1.5
315,-9.35,-77.17,Huari,284.75,55,90,2.91
316,32.94,132.72,Sukumo,290.88,84,0,3.54
317,9.49,50.81,Bandarbeyla,300.34,81,43,8.32
318,12.86,-7.56,Koulikoro,298.15,83,40,2.6
319,-17.53,-149.33,Tiarei,302.09,66,75,3.1
320,-2.55,14.76,Djambala,294.31,90,94,0.8
321,44.98,25.55,Ocnita,285.8,100,0,2.1
322,70.24,22.35,Oksfjord,269.8,92,75,5.1
323,58.45,92.17,Yeniseysk,268.79,61,100,2.88
324,56.07,37.56,Marfino,281.48,93,75,3.0
325,-23.84,151.26,Gladstone,295.9,56,21,5.7
326,44.37,-100.35,Pierre,280.13,75,90,14.4
327,-7.63,-72.67,Cruzeiro do Sul,301.15,83,40,3.1
328,46.45,135.83,Vostok,272.7,70,0,1.76
329,-23.49,-58.8,Pozo Colorado,300.92,29,0,4.24
330,-0.86,131.25,Sorong,295.46,98,40,0.65
331,32.07,-84.23,Americus,299.61,51,75,3.64
332,58.6,99.18,Kodinsk,266.39,77,100,2.97
333,-0.72,8.78,Port-Gentil,299.15,88,20,1.5
334,-17.73,-39.27,Caravelas,296.23,87,100,4.64
335,51.68,102.13,Kyren,261.74,97,100,2.55
336,40.25,19.57,Dukat,291.5,73,0,0.89
337,-21.65,-46.39,Botelhos,293.96,82,100,1.64
338,7.99,117.06,Balabac,300.87,81,7,4.23
339,63.44,-20.27,Vestmannaeyjar,277.64,65,0,14.03
340,44.65,26.83,Sfantu Gheorghe,286.73,100,0,2.1
341,-16.99,145.42,Mareeba,294.95,78,75,8.2
342,-6.32,155.48,Panguna,296.93,87,44,1.45
343,18.56,-74.26,Moron,301.55,73,100,0.52
344,43.67,-116.69,Caldwell,286.14,47,90,4.1
345,8.02,-62.41,Upata,303.15,60,57,0.89
346,65.68,-18.09,Akureyri,273.15,96,90,8.2
347,42.19,-111.17,Harer,277.2,74,90,7.44
348,69.22,-51.1,Ilulissat,265.15,52,7,2.1
349,52.25,79.17,Klyuchi,268.09,78,0,2.05
350,27.73,112.52,Xiangxiang,291.85,45,62,0.75
351,50.9,-1.4,Southampton,283.13,81,1,1.0
352,-2.02,147.27,Lorengau,302.18,73,93,3.94
353,-32.81,-56.52,Paso de los Toros,288.15,62,11,5.1
354,-11.2,13.84,Sumbe,297.3,81,82,2.56
355,38.01,-122.13,Martinez,301.62,46,1,6.7
356,26.23,66.31,Bela,300.5,36,0,1.16
357,13.52,35.76,Doka,298.87,66,36,2.2
358,37.14,-8.45,Lagoa,287.46,72,20,3.1
359,-23.11,-55.23,Amambai,295.2,74,14,3.0
360,-9.98,-67.82,Rio Branco,301.15,74,75,3.1
361,67.67,12.69,Sorland,278.15,86,75,8.2
362,66.42,112.4,Udachnyy,260.15,92,90,3.0
363,-16.92,145.77,Cairns,294.8,78,75,8.2
364,63.75,-68.52,Iqaluit,272.1,86,90,6.2
365,-26.65,15.16,Luderitz,290.15,51,0,6.2
366,39.62,-77.74,Vardo,290.79,63,1,3.48
367,53.74,127.27,Zeya,270.53,90,0,1.11
368,24.8,125.28,Hirara,296.15,83,20,3.1
369,57.8,158.67,Tigil,269.78,86,44,1.13
370,26.63,-78.28,High Rock,303.15,79,40,2.6
371,52.3,5.62,Ermelo,284.72,87,90,2.6
372,48.81,11.37,Gaimersheim,284.23,93,100,1.5
373,27.03,14.43,Sabha,297.83,40,30,5.26
374,-3.0,-47.35,Paragominas,302.53,61,70,1.59
375,69.49,88.39,Talnakh,266.15,92,75,6.0
376,56.19,-117.61,Grimshaw,277.08,80,40,2.6
377,36.06,103.82,Lanzhou,277.15,100,20,2.0
378,68.05,39.51,Ostrovnoy,265.84,97,100,2.72
379,29.35,-99.14,Hondo,299.86,22,1,2.1
380,5.38,-52.96,Sinnamary,300.78,72,53,4.37
381,-16.46,-54.64,Rondonopolis,297.92,82,67,7.4
382,28.28,88.52,Gamba,271.44,77,15,0.99
383,9.52,-13.7,Conakry,300.31,85,66,3.38
384,-0.95,122.79,Luwuk,299.5,77,48,5.23
385,-32.72,152.14,Nelson Bay,290.35,77,20,2.6
386,-45.58,-72.07,Coihaique,285.15,57,20,3.6
387,27.87,-0.29,Adrar,300.15,14,0,2.38
388,-15.12,39.26,Nampula,297.3,65,27,3.14
389,43.56,6.97,Saint-Joseph,289.83,93,100,1.86
390,26.56,54.88,Bandar-e Lengeh,302.15,62,0,2.1
391,52.46,43.89,Sokolka,285.27,82,100,6.35
392,36.35,-82.21,Elizabethton,291.0,60,1,3.1
393,52.0,127.67,Shimanovsk,272.26,76,67,1.87
394,45.1,24.1,Manta,287.23,66,0,0.82
395,9.52,-79.03,Tubuala,301.66,78,40,3.1
396,54.63,-8.45,Killybegs,283.45,77,99,7.89
397,-29.19,27.46,Ladybrand,283.1,46,0,2.28
398,30.78,78.62,Lata,269.03,44,0,0.77
399,46.41,-105.84,Miles City,283.27,37,90,8.7
400,36.69,53.54,Behshahr,288.15,93,100,1.0
401,70.03,20.97,Skjervoy,274.37,68,98,3.11
402,26.59,12.77,Awbari,300.15,33,0,3.09
403,33.32,129.49,Hirado,291.03,93,75,3.1
404,0.78,11.55,Mitzic,293.7,97,55,1.02
405,44.08,-80.2,Shelburne,286.92,54,1,6.7
406,50.46,30.17,Dmytrivka,283.4,100,45,2.0
407,-2.67,141.3,Vanimo,300.78,78,100,5.44
408,50.6,97.53,Kungurtug,264.27,90,100,2.66
409,-37.88,147.99,Lakes Entrance,282.71,97,0,4.55
410,-14.56,40.69,Nacala,297.3,84,0,2.72
411,17.72,79.16,Jangaon,295.52,81,100,1.84
412,44.25,-116.97,Weiser,285.86,47,20,4.45
413,-14.9,50.28,Antalaha,297.55,82,57,4.28
414,53.97,121.97,Yerofey Pavlovich,271.72,93,100,0.6
415,68.06,166.44,Bilibino,252.52,98,3,0.29
416,33.8,75.1,Bijbiara,280.21,46,31,0.74
417,-22.46,-68.93,Calama,297.09,5,0,10.3
418,5.67,73.0,Ugoofaaru,300.77,81,60,6.61
419,26.78,82.14,Faizabad,293.08,57,0,2.43
420,37.17,-99.65,Sitka,288.72,22,0,15.2
421,50.56,-96.99,Husavik,279.26,81,100,8.49
422,41.14,-73.36,Westport,289.62,77,40,2.6
423,63.9,122.77,Kysyl-Syr,268.86,92,99,0.94
424,17.47,-97.23,Asuncion Nochixtlan,297.66,52,27,2.68
425,-1.2,-46.02,Carutapera,300.87,77,100,4.99
426,-35.12,139.28,Murray Bridge,292.81,50,22,1.34
427,51.13,71.43,Astana,265.15,85,100,3.0
428,-15.31,-49.6,Ceres,303.83,42,42,1.37
429,23.01,104.4,Mabai,289.97,98,100,1.65
430,-15.77,128.74,Kununurra,294.15,73,51,1.65
431,20.92,-89.95,Kinchil,308.15,53,40,6.2
432,50.24,127.51,Heihe,273.15,47,20,3.0
433,61.99,5.14,Raudeberg,280.84,87,75,15.9
434,27.97,-114.04,Guerrero Negro,305.49,19,0,4.11
435,54.52,-128.61,Terrace,279.15,93,90,4.1
436,46.38,-75.98,Maniwaki,285.23,74,72,1.35
437,-6.22,155.63,Kieta,300.55,73,70,1.6
438,2.74,23.78,Aketi,293.87,98,100,1.0
439,10.07,34.53,Asosa,291.55,88,100,1.51
440,54.78,-127.17,Smithers,278.15,93,90,1.5
441,8.41,48.48,Garowe,298.13,69,6,5.89
442,42.77,-9.06,Muros,282.82,100,0,1.0
443,-22.12,14.28,Henties Bay,289.26,87,0,2.24
444,59.79,5.78,Gravdal,281.75,66,100,9.8
445,16.47,-98.41,Cuajinicuilapa,303.11,70,6,3.29
446,31.78,104.73,Jiangyou,284.2,93,100,0.73
447,-17.07,15.73,Ondjiva,302.12,11,1,2.92
448,-12.18,26.4,Solwezi,293.17,32,18,2.25
449,6.26,21.2,Ippy,293.14,98,100,1.76
450,54.57,-2.89,Sandwick,278.53,81,24,5.1
451,26.33,43.97,Buraydah,297.15,33,2,3.1
452,46.47,27.25,Oncesti,285.27,100,90,2.82
453,-20.73,139.49,Mount Isa,298.15,14,0,4.1
454,0.23,37.94,Maua,298.06,63,75,0.38
455,41.89,12.48,Rome,290.28,77,89,1.5
456,66.82,65.8,Kharp,263.98,96,100,3.97
457,48.03,28.7,Kamenka,287.66,66,1,1.87
458,8.0,124.29,Marawi,298.15,88,24,2.24
459,18.39,42.45,Faya,290.18,32,0,2.1
460,56.22,32.78,Nelidovo,280.57,98,17,1.63
461,5.35,48.53,Hobyo,300.18,77,0,3.77
462,-2.54,115.51,Labuhan,294.82,82,100,0.69
463,5.11,-1.24,Cape Coast,299.55,83,0,3.81
464,32.79,12.49,Sabratah,298.6,66,0,10.64
465,5.79,0.9,Anloga,299.15,88,20,3.1
466,-8.49,140.4,Merauke,295.86,84,61,3.56
467,57.84,108.35,Alekseyevsk,267.87,93,100,1.07
468,-3.36,135.5,Nabire,294.93,96,99,0.82
469,59.63,112.75,Peleduy,265.52,92,100,1.78
470,67.67,53.09,Naryan-Mar,264.36,93,100,3.02
471,9.35,-65.33,Zaraza,300.57,88,86,1.74
472,16.86,-99.88,Acapulco,303.15,74,40,3.1
473,53.69,54.27,Bizhbulyak,278.99,73,95,7.35
474,68.54,146.19,Belaya Gora,256.64,97,47,1.75
475,5.56,95.32,Banda Aceh,296.14,93,100,0.8
476,53.87,39.17,Shirokiy,286.48,70,86,0.45
477,55.1,-105.3,La Ronge,277.15,55,75,1.0
478,52.47,1.45,Broome,283.5,93,75,3.1
479,31.35,27.25,Marsa Matruh,296.15,73,20,4.6
480,-21.48,-56.15,Jardim,297.14,71,37,4.01
481,56.17,113.57,Severomuysk,260.2,93,100,2.42
482,14.53,20.93,Biltine,304.6,29,100,3.34
483,-35.1,173.78,Kaeo,291.18,94,1,7.45
484,48.8,-79.2,La Sarre,283.55,72,100,2.42
485,24.47,54.37,Abu Dhabi,301.62,70,0,2.1
486,63.45,120.31,Verkhnevilyuysk,268.31,90,100,2.75
487,36.48,119.21,Anqiu,286.23,69,4,0.39
488,-3.31,129.0,Amahai,298.81,80,54,2.69
489,39.18,-96.57,Manhattan,285.86,47,90,8.2
490,6.19,-67.49,Puerto Carreno,301.15,78,75,2.1
491,13.22,80.32,Kattivakkam,297.09,100,75,2.1
492,10.99,-74.96,Puerto Colombia,301.15,88,75,4.1
493,46.9,6.35,Pontarlier,284.24,100,90,0.5
494,51.71,143.23,Katangli,277.49,76,9,3.83
495,-0.91,-78.62,Campoverde,286.61,87,75,1.5
496,47.34,5.0,Talant,284.84,100,90,1.5
497,68.22,-135.01,Aklavik,266.15,92,75,3.1
498,-11.1,-77.61,Hualmay,292.33,63,0,3.65
499,55.57,62.07,Brodokalmak,275.44,93,40,4.0
500,51.16,55.0,Sol-Iletsk,276.11,43,0,2.95
501,-3.13,-59.98,Manaus,301.15,83,75,1.0
502,-34.58,150.85,Flinders,289.87,72,0,2.6
503,57.45,97.32,Chunoyar,266.7,67,100,3.51
504,38.48,106.21,Yinchuan,284.82,38,100,1.34
505,49.18,-68.27,Hauterive,280.33,87,1,2.6
506,-6.09,-35.21,Nisia Floresta,299.62,74,40,3.6
507,29.7,-9.73,Tiznit,284.95,81,67,4.31
508,43.66,-70.25,Portland,286.29,58,1,2.1
509,-3.35,-64.71,Tefe,304.15,70,20,3.1
510,48.2,-114.32,Kalispell,279.65,52,90,4.1
